date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:12	69/69	---M-Z	200	added ('OK')	text/plain	date:Fri,%2002%20Sep%202022%2009:03:06%20GMT	https://www.primaram.com/robots.txt		(from )
11:03:13	65917/65917	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Sep%202022%2009:03:07%20GMT	https://www.primaram.com/	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/index.html	(from )
11:03:13	4231/4231	---M--	200	added ('OK')	image/png	etag:%226197589d-1087%22	https://www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-57x57.png	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-57x57.png	(from https://www.primaram.com/)
11:03:13	4419/4419	---M--	200	added ('OK')	image/png	etag:%226197589d-1143%22	https://www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-60x60.png	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-60x60.png	(from https://www.primaram.com/)
11:03:14	5435/5435	---M--	200	added ('OK')	image/png	etag:%226197589d-153b%22	https://www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-72x72.png	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-72x72.png	(from https://www.primaram.com/)
11:03:14	5777/5777	---M--	200	added ('OK')	image/png	etag:%226197589d-1691%22	https://www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-76x76.png	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-76x76.png	(from https://www.primaram.com/)
11:03:14	9407/9407	---M--	200	added ('OK')	image/png	etag:%226197589d-24bf%22	https://www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-114x114.png	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-114x114.png	(from https://www.primaram.com/)
11:03:14	9910/9910	---M--	200	added ('OK')	image/png	etag:%226197589d-26b6%22	https://www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-120x120.png	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-120x120.png	(from https://www.primaram.com/)
11:03:15	12501/12501	---M--	200	added ('OK')	image/png	etag:%226197589d-30d5%22	https://www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-144x144.png	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-144x144.png	(from https://www.primaram.com/)
11:03:15	13318/13318	---M--	200	added ('OK')	image/png	etag:%226197589d-3406%22	https://www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-152x152.png	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-152x152.png	(from https://www.primaram.com/)
11:03:15	16688/16688	---M--	200	added ('OK')	image/png	etag:%226197589d-4130%22	https://www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-180x180.png	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/wp-content/themes/primaram/favicon/apple-icon-180x180.png	(from https://www.primaram.com/)
11:03:15	15101/15101	---M--	200	added ('OK')	image/png	etag:%226197589d-3afd%22	https://www.primaram.com/wp-content/themes/primaram/favicon/android-icon-192x192.png	C:/Users/migue/OneDrive/00%20PrimaRam/01_Web/00_Snapshots/PrimaRam%20v3/www.primaram.com/wp-content/themes/primaram/favicon/android-icon-192x192.png	(from https://www.primaram.com/)
